Thématique,Réglementation,Obligatoire,Source
Statut juridique,"Une Junior-Entreprise doit impérativement adopter la forme d'une association régie par la loi du 1er juillet 1901, ce qui lui confère un cadre juridique souple mais encadré. Cela permet de fonctionner légalement sans but lucratif.",Oui,CNJE
Affiliation,"Bien qu’il soit possible de créer une structure étudiante indépendante, obtenir le label 'Junior-Entreprise' délivré par la CNJE permet de bénéficier d’un réseau national, d’outils mutualisés et d’une reconnaissance forte auprès des clients.",Non,CNJE
Encadrement des missions,"Les missions doivent obligatoirement avoir une finalité pédagogique. Elles doivent permettre aux étudiants de mettre en pratique les enseignements reçus dans leur établissement, et ne peuvent pas avoir une visée purement lucrative.",Oui,CNJE / Code de l'Éducation
Plafond annuel de chiffre d'affaires,"Pour garantir leur statut associatif, les Junior-Entreprises doivent respecter un seuil annuel de chiffre d'affaires fixé par la CNJE. Dépasser ce seuil peut remettre en cause leur nature non commerciale.",Oui,CNJE
Assurance,"Il est indispensable pour une Junior-Entreprise de souscrire une assurance Responsabilité Civile Professionnelle, couvrant les dommages potentiellement causés à des tiers dans le cadre des missions réalisées.",Oui,CNJE / Code civil
Convention de stage,"Les missions réalisées par une Junior-Entreprise ne peuvent en aucun cas être effectuées dans le cadre d'une convention de stage. Toute mission doit faire l’objet d’un contrat spécifique de prestation de service.",Oui,CNJE
Respect du RGPD,"Toute collecte, stockage ou traitement de données personnelles (clients, étudiants, etc.) doit être conforme au Règlement Général sur la Protection des Données (RGPD), y compris l’obligation d’information et le droit à l’effacement.",Oui,CNIL / RGPD
Assemblée générale,"L’association doit organiser au minimum une Assemblée Générale par an, rassemblant ses membres pour voter les bilans, budgets, et projets, et désigner les responsables. Un procès-verbal doit être rédigé et conservé.",Oui,Loi 1901
Comptabilité,"La Junior-Entreprise est tenue de tenir une comptabilité rigoureuse selon les règles applicables aux associations. Cela inclut un suivi précis des recettes et dépenses, ainsi que l’établissement d’un bilan annuel.",Oui,Loi 1901
Suivi pédagogique,"Chaque mission doit présenter un lien direct avec la formation académique suivie par les membres impliqués. Ce principe garantit que l’activité reste pédagogique et ne tombe pas sous le coup de la requalification en activité commerciale.",Oui,CNJE / Statuts JE
Encadrement juridique,"Un accompagnement juridique est souvent requis pour valider les contrats, vérifier la conformité des statuts, et répondre à d’éventuelles mises en cause en responsabilité. La CNJE fournit une assistance juridique aux structures labellisées.",Non,CNJE
Audit qualité,"Les Junior-Entreprises labellisées sont régulièrement auditées par la CNJE afin de garantir le respect des standards de qualité et de légalité. Ces audits portent sur la gestion, la comptabilité, le respect des procédures et la pédagogie.",Oui,CNJE
Communication externe,"Toute communication (site web, plaquettes, réseaux sociaux) doit respecter l’image et les valeurs du mouvement Junior-Entreprise. Une validation CNJE est souvent requise pour éviter les erreurs juridiques ou marketing.",Non,CNJE
Statuts & règlement intérieur,"Les statuts de l'association doivent être déposés en préfecture et conformes à la loi 1901. Un règlement intérieur est fortement conseillé pour encadrer les processus internes (adhésions, élections, sanctions, etc.).",Oui,Loi 1901
Formation des membres,"La CNJE recommande (et impose parfois) la formation des membres sur les aspects juridiques, financiers et commerciaux avant qu’ils n’interviennent sur des missions. Cela limite les erreurs légales et commerciales.",Non,CNJE
